56,0,67,
66,0,113,
99,0,111,
116,0,149,
101,0,120,
104,0,136,
72,0,96,
53,0,72,
53,0,89,
52,0,64,
140,0,131,
55,0,59,
62,0,63,
77,0,77,
96,0,97,
105,0,106,
111,0,118,
116,0,130,
117,0,134,
127,0,157,
130,0,175,
138,0,188,
119,0,173,
108,1,160,
101,0,158,
90,0,144,
67,0,119,
151,0,102,
59,0,95,
57,0,82,
53,0,71,
52,0,58,
67,0,78,
80,1,102,
79,0,120,
108,1,148,
110,0,142,
104,0,117,
98,0,101,
89,0,93,
71,1,81,
70,0,94,
56,0,66,
73,0,93,
101,0,130,
93,0,109,
79,0,112,
96,0,133,
