57,0,116,
41,0,65,
115,0,119,
99,0,145,
51,0,118,
38,0,119,
101,1,163,
57,0,129,
140,0,186,
137,0,173,
109,0,153,
96,0,141,
63,0,118,
53,0,110,
36,0,96,
40,0,76,
67,0,97,
103,0,122,
123,1,140,
130,0,134,
127,0,126,
110,0,113,
96,0,101,
65,0,75,
52,0,68,
35,0,50,
45,0,79,
50,0,114,
117,0,120,
131,0,123,
121,0,139,
108,0,153,
95,0,148,
54,0,117,
45,0,117,
60,0,123,
48,0,114,
31,0,114,
40,0,72,
103,0,127,
122,0,163,
129,0,187,
107,0,151,
106,0,125,
133,0,126,
67,0,84,
50,0,72,
49,0,86,
