43,187,0,
94,210,0,
47,169,0,
102,187,0,
90,205,0,
104,182,0,
47,136,0,
34,134,0,
43,134,0,
111,180,0,
108,188,0,
111,219,0,
100,177,0,
42,142,0,
43,150,0,
33,170,0,
106,216,0,
46,136,0,
115,203,0,
79,186,0,
47,153,0,
32,144,0,
99,185,0,
63,147,1,
97,171,0,
106,208,1,
41,163,0,
78,209,0,
58,181,0,
96,168,0,
112,220,0,
27,168,0,
53,148,0,
105,191,0,
101,206,0,
122,200,0,
48,150,0,
100,213,1,
38,175,0,
108,224,0,
109,178,0,
35,125,0,
34,167,0,
101,210,0,
96,176,0,
40,131,0,
33,164,0,
92,207,0,
60,143,0,
106,190,0,
96,214,0,
