102,0,75,
93,0,40,
86,0,31,
94,0,42,
53,0,72,
126,0,80,
131,0,84,
103,0,55,
112,0,82,
138,0,109,
113,0,86,
93,0,40,
82,0,18,
91,1,40,
105,0,76,
110,0,91,
108,0,90,
92,1,37,
77,0,9,
123,0,69,
136,0,79,
151,0,100,
164,0,132,
166,0,141,
164,1,146,
142,1,120,
113,0,89,
86,0,40,
92,0,59,
108,0,93,
121,0,99,
111,0,68,
104,0,63,
112,0,59,
131,0,89,
166,0,266,
137,0,104,
115,1,73,
100,0,64,
93,0,62,
126,0,103,
140,0,130,
129,0,100,
107,0,203,
104,0,96,
121,0,107,
110,0,85,
88,0,37,
