179,202,0,
131,238,0,
138,234,1,
118,125,0,
80,160,0,
80,126,1,
133,224,1,
113,210,0,
142,218,0,
112,173,0,
92,158,0,
79,164,0,
88,193,0,
170,198,0,
136,238,0,
117,185,0,
79,146,0,
155,144,0,
124,186,0,
133,226,0,
235,232,0,
75,167,0,
122,217,0,
120,212,0,
81,160,0,
130,203,0,
78,147,0,
187,197,0,
138,234,0,
176,191,1,
137,236,0,
116,184,1,
64,137,0,
174,194,0,
143,239,0,
100,196,0,
126,186,0,
78,153,0,
88,159,0,
171,177,0,
135,239,0,
172,194,0,
66,150,0,
126,199,0,
95,195,0,
139,237,0,
108,194,0,
160,189,0,
50,121,0,
151,248,1,
127,182,0,
135,222,0,
128,194,0,
116,187,1,
93,164,1,
193,194,0,
